true_pc,mean_pc,ci_pc_1,ci_pc_2,mean_n4,ci_n4_1,ci_n4_2,mean_cd4_cd4,ci_44_1,ci_44_2
0.9151860764850289,0.9146602693827315,0.9118973467804741,0.9174231919849889,371.8422049779327,371.27573693095576,372.4086730249096,336.68,335.5348006806065,337.8251993193935
0.91,0.9098689703136155,0.9069635786202616,0.9127743620069694,371.8585231941627,371.28001304544364,372.4370333428817,334.72,333.53245323307885,335.9075467669212
0.92,0.9196416242262824,0.9170259349891268,0.922257313463438,371.8517254763527,371.3170778194347,372.38637313327075,338.74,337.65004989827014,339.8299501017299
0.93,0.929120213343896,0.9266991968336727,0.9315412298541194,371.71494702062233,371.24299624226165,372.186897798983,342.52,341.5021774048937,343.53782259510626
0.9400000000000001,0.9394944141127921,0.9372628463710044,0.9417259818545798,371.73043772772144,371.3084303906425,372.15244506480036,346.8,345.8817953480364,347.7182046519636
0.9500000000000001,0.9490772423144448,0.9471165474971464,0.9510379371317432,371.918780294816,371.5511243622946,372.28643622733733,350.92,350.10179889837593,351.7382011016241
0.9600000000000001,0.9592622010143823,0.9575775232662348,0.9609468787625298,372.07067487490013,371.7388153696735,372.4025343801268,355.26,354.5340297460893,355.9859702539107
0.9700000000000001,0.969803456212455,0.9683418875738778,0.9712650248510322,371.9817198304143,371.7146440374062,372.24879562342244,359.52,358.89096563972504,360.1490343602749
0.9800000000000001,0.9801928127436433,0.9789766692009648,0.9814089562863219,371.9973836004868,371.7806043528675,372.21416284810607,363.82,363.27870429904897,364.361295700951
0.9900000000000001,0.9905393448371725,0.9896574816692151,0.99142120800513,371.98712023082896,371.828629791627,372.1456106700309,368.08,367.6667790332651,368.4932209667349
1.0,1.0,,,372.0,,,372.0,,
